어린이집명,어린이집유,보육교사_1인당_아동수,충족률,어린이집개수
BeBe스쿨어린이집,가정,2.571428571,0.9,13
DYPNF 직장어린이집,직장,1.5,0.1875,5
e-다솔어린이집,가정,2.166666667,0.684210526,13
KB강서어린이집,직장,3,0.685714286,10
LG CNS어린이집,직장,2.416666667,0.828571429,3
LG이노텍 서울어린이집,직장,2.083333333,0.833333333,1
N젤어린이집,직장,2,0.866666667,4
강서구청어린이집,직장,2.266666667,0.693877551,7
강서어린이집,민간,5.571428571,0.393939394,6
강서한강자이어린이집,민간,3.823529412,0.928571429,11
강서햇빛발도르프어린이집,협동,2.428571429,0.485714286,8
강서힐스테이트어린이집,민간,3.666666667,0.268292683,13
개구리 어린이집,협동,2.571428571,0.5625,11
고모랑이모랑어린이집,가정,1.5,0.1875,6
고운아이어린이집,가정,2.857142857,1,8
고은쁘띠에꼴어린이집,민간,3.4,0.85,4
공간어린이집,민간,3.333333333,0.638297872,8
구립 가양 어린이집,국공립,5.5,0.885057471,4
구립 가온어린이집,국공립,2.5,1,6
구립 강변어린이집,국공립,4.3,0.754385965,10
구립 꼬꼬마라인어린이집,국공립,2.5,1,13
구립 노블키즈어린이집,국공립,2.375,0.95,9
구립 늘사랑어린이집,국공립,1.818181818,1,1
구립 드보라어린이집,국공립,2,0.947368421,14
구립 뜰아래어린이집,국공립,2.375,1,8
구립 라온어린이집,국공립,3.866666667,0.865671642,8
구립 모아어린이집,국공립,2,0.9,13
구립 밤비어린이집,국공립,2.5,1,10
구립 배다리어린이집,국공립,5.8,0.734177215,3
구립 보솜어린이집,국공립,2.3,0.821428571,13
구립 뽄다어린이집,국공립,2,1,7
구립 새하늘어린이집,국공립,5.8,0.945652174,7
구립 샛별어린이집,국공립,2,0.947368421,11
구립 소은어린이집,국공립,2.375,1,5
구립 스마일어린이집,국공립,2.857142857,1,12
구립 신태양어린이집,국공립,4.9375,0.797979798,12
구립 아기별어린이집,국공립,2.857142857,1,9
구립 아이나무어린이집,국공립,3.666666667,0.916666667,6
구립 아이솔 어린이집,국공립,4,0.676056338,5
구립 아이편한어린이집,국공립,3.666666667,0.846153846,7
구립 엔젤아이어린이집,국공립,2.285714286,1,11
구립 엠밸리큰나무어린이집,국공립,3.071428571,0.614285714,4
구립 염창별하어린이집,국공립,3,0.933333333,8
구립 우장숲어린이집,국공립,4.071428571,0.791666667,5
구립 이든아이어린이집,국공립,4.181818182,0.779661017,7
구립 진로어린이집,국공립,2.375,1,12
구립 청솔어린이집,국공립,1.714285714,0.631578947,13
구립 코알라아가마을어린이집,국공립,2,1,7
구립 큰별어린이집,국공립,2.5,1,12
구립 태진한솔어린이집,국공립,2.111111111,1,7
