시군구명,어린이집코,어린이집명,어린이집유,운영현황,우편번호,상세주소,전화번호,보육실수,보육실 면,놀이터수,CCTV총설치,보육교직원,정원,현원,시설 위도(,시설 경도(,통학차량운,서울형어린이집,750_유아인구수,750m_서울형어립이집,750m_국공립어린이집
강서구,11500000356,e-다솔어린이집,가정,정상,7639,서울특별시 강서구 강서로45나길 15 101동 101호(내발산동 수산오성아파트),02-2696-5621,3,53,0,5,6,19,13,37.54860249,126.835403,운영,0,2160,6,7
강서구,11500000662,구립 스마일어린이집,국공립,정상,7691,서울특별시 강서구 강서로 266 114동 103호(화곡동 우장산아이파크 이편한세상),02-6278-7737,3,85,0,4,7,20,20,37.55044129,126.8367641,미운영,0,2172,6,7
강서구,11500000719,구립 청솔어린이집,국공립,정상,7638,서울특별시 강서구 강서로47마길 71 107호,02-2606-7045,3,58,0,5,7,19,12,37.5500975,126.8325381,미운영,0,2058,6,8
강서구,11500000266,베베키즈어린이집,가정,정상,7639,서울특별시 강서구 강서로45길 18 태승훼미리아파트 101동103호 (내발산동),02-2607-5595,4,52,0,5,3,18,7,37.54825438,126.835149,미운영,0,2155,6,7
강서구,11500000633,초롱어린이집,가정,정상,7694,서울특별시 강서구 우현로 67 118-101(화곡동강서힐스테이트),02-2601-6833,3,62,5,4,6,20,17,37.54705736,126.8395495,미운영,0,2221,6,7
강서구,11500000603,하늘샘어린이집,국공립,정상,7638,서울특별시 강서구 강서로47다길 35,02-2665-7611,5,189,1,10,13,71,64,37.55132626,126.8343098,미운영,0,2149,6,9
강서구,11500000362,한결어린이집,가정,정상,7691,서울특별시 강서구 강서로 266 111동 103호(화곡동 우장산아이파크이편한세상아파트),02-3667-1894,3,84,0,5,8,19,19,37.54999982,126.8367763,미운영,1,2227,6,7
강서구,11500000670,구립 드보라어린이집,국공립,정상,7638,서울특별시 강서구 강서로47길 63 103호(내발산동 예스빌),02-2666-5300,4,65,0,5,9,19,18,37.55276915,126.8326724,미운영,0,1772,5,10
강서구,11500000704,구립 모아어린이집,국공립,정상,7517,서울특별시 강서구 방화대로45길 78 101동 103호(방화동 보람쉬움아파트),02-2661-8767,4,60,0,5,9,20,18,37.57458953,126.8120673,미운영,0,1704,5,9
강서구,11500000733,구립 해담어린이집,국공립,정상,7609,서울특별시 강서구 금낭화로11길 36,02-2662-3265,5,206,1,11,15,73,63,37.57001877,126.810361,미운영,0,1417,5,8
강서구,11500000138,나래어린이집,국공립,정상,7517,서울특별시 강서구 양천로17길 25 (방화동),02-2664-9831,4,102,0,10,12,38,35,37.57456574,126.8126871,미운영,0,1814,5,9
강서구,11500000401,나무와숲어린이집,가정,정상,7609,서울특별시 강서구 양천로14길 37 102동 108호,02-2663-1010,4,76,0,4,8,20,20,37.57084923,126.8099259,미운영,0,1405,5,6
강서구,11500000623,라임어린이집,가정,정상,7694,서울특별시 강서구 우현로 67 113동 103호(화곡동강서힐스테이트),02-2693-2693,3,60,4,4,6,20,19,37.54703394,126.8388904,미운영,0,2134,5,7
강서구,11500000330,발산 빅스맘 어린이집,민간,정상,7693,서울특별시 강서구 우장산로2길 57 (내발산동),02-3664-8510,6,120,0,8,3,39,4,37.55226369,126.8371822,운영,0,1977,5,8
강서구,11500000242,발산어린이집,국공립,정상,7647,서울특별시 강서구 우장산로 45 구립 발산어린이집 (내발산동),02-3661-8894,8,699,1,16,26,141,105,37.5544416,126.8421884,미운영,0,1713,5,6
강서구,11500000145,사과나무어린이집,가정,정상,7604,서울특별시 강서구 양천로24가길 59 105동 102호(방화동 한진로즈힐),02-2664-6606,3,58,0,4,7,19,14,37.57171308,126.8122419,미운영,0,1864,5,10
강서구,11500000065,새싹어린이집,국공립,정상,7604,서울특별시 강서구 양천로24가길 73 (방화동),02-2665-4910,6,357,1,14,14,84,62,37.57048533,126.8133737,미운영,0,2062,5,13
강서구,11500000617,엔젤어린이집,가정,정상,7694,서울특별시 강서구 우현로 67 119동 103호,02-2602-1514,3,60,0,4,7,20,20,37.54641768,126.8395735,미운영,0,2252,5,9
