시군구명,어린이집코,어린이집명,어린이집유,운영현황,상세주소,CCTV총설치,시설 위도(,시설 경도(,병원합,소방서합,경찰서합,공원합,도서관합,체험시설합,놀이터수
강서구,11500000130,방화엔젤어린이집,민간,정상,서울특별시 강서구 금낭화로 287-19 (방화동),11,37.57804638,126.8102133,26,2,1,9,3,7,1
강서구,11500000299,예은어린이집,민간,정상,서울특별시 강서구 방화대로49길 52,19,37.57811462,126.8148886,27,1,1,11,5,7,1
강서구,11500000531,꿈꾸는어린이집,민간,정상,서울특별시 강서구 금낭화로24가길 21 (방화동),7,37.57901608,126.8151864,21,1,1,11,4,6,0
강서구,11500000398,아장아장어린이집,가정,정상,서울특별시 강서구 방화대로47가길 22 404동 103호(방화동 삼환아파트),4,37.5768495,126.8139493,29,1,1,13,4,5,0
강서구,11500000126,새자연어린이집,민간,정상,서울특별시 강서구 방화대로47가길 22 삼익아파트 내 유치원동 (방화동),7,37.57713921,126.8148316,28,1,1,14,4,6,1
강서구,11500000283,포도원어린이집,가정,정상,서울특별시 강서구 금낭화로23길 8 110동 103호(방화동 동성아파트),4,37.58006271,126.8118412,15,1,1,8,3,6,0
강서구,11500000246,상록어린이집,국공립,정상,서울특별시 강서구 금낭화로23길 25 (방화동),8,37.57795522,126.810955,26,1,1,10,3,7,1
강서구,11500000142,엄마사랑어린이집,가정,정상,서울특별시 강서구 금낭화로23길 8 101동 106호(방화동 동성아파트),4,37.57952887,126.8132605,19,1,1,11,3,6,0
강서구,11500000738,구립 이든아이어린이집,국공립,정상,서울특별시 강서구 까치산로18나길 22-1,8,37.54634468,126.8491272,21,1,1,13,3,4,1
강서구,11500000723,아장닷컴어린이집,가정,정상,서울특별시 강서구 화곡로42나길 30-17,5,37.54737689,126.8478124,22,1,1,13,3,7,0
강서구,11500000208,주연어린이집,민간,정상,서울특별시 강서구 까치산로12길 7-17,8,37.54543718,126.847669,29,1,1,16,3,3,1
강서구,11500000710,강서햇빛발도르프어린이집,협동,정상,서울특별시 강서구 까치산로18길 35 강서햇빛발도르프어린이집,0,37.54671627,126.8508408,14,1,1,11,2,4,0
강서구,11500000736,두빛나래터발도르프어린이집,협동,정상,서울특별시 강서구 등촌로39마길 52,0,37.54646537,126.8574272,6,0,1,4,3,2,0
강서구,11500000257,아이파크어린이집,가정,정상,서울특별시 강서구 등촌로 163 203동 103호(등촌동 등촌동아이파크아파트),5,37.54315626,126.8591506,5,0,1,1,2,1,0
강서구,11500000273,별강서어린이집,민간,정상,서울특별시 강서구 까치산로22길 10 (화곡동),12,37.54890179,126.8514758,20,0,1,10,2,3,0
강서구,11500000083,강서어린이집,민간,정상,서울특별시 강서구 까치산로 128 (화곡동),9,37.54894924,126.8508888,20,0,1,10,2,3,2
강서구,11500000021,화곡어린이집,법인?단체등,정상,서울특별시 강서구 까치산로 60 화곡어린이집 (화곡동),10,37.54390022,126.8465814,47,1,0,18,3,2,1
강서구,11500000404,아름드리어린이집,가정,정상,서울특별시 강서구 까치산로4라길 20 (화곡동),4,37.53899261,126.8457051,69,1,0,19,3,2,0
강서구,11500000543,아띠어린이집,가정,정상,서울특별시 강서구 까치산로4다길 20 (화곡동),4,37.53991469,126.8452623,60,1,0,19,3,2,0
강서구,11500000300,숲속나라어린이집,민간,정상,서울특별시 강서구 까치산로4길 64-6 (화곡동),6,37.54026657,126.8458369,54,1,0,19,3,2,0
강서구,11500000046,동성어린이집,민간,정상,서울특별시 강서구 강서로26길 63,10,37.54061849,126.8453821,56,1,0,19,3,2,1
강서구,11500000636,진양아이어린이집,민간,정상,서울특별시 강서구 까치산로 18-10,7,37.54135871,126.8430219,58,1,0,19,3,2,0
강서구,11500000097,예원비전스쿨어린이집,민간,재개,서울특별시 강서구 강서로24길 65 (화곡동),10,37.5394472,126.8462913,58,1,0,18,2,2,1
