시군구명,어린이집명,어린이집유형,상세주소,보육실수,보육실 면,보육교직원,정원,현원,시설 위도(,시설 경도(,서울형어린,환경지수,접근지수,위험지수,평가등급,서울형 or 국공립
강서구,BeBe스쿨어린이집,가정,서울특별시 강서구 초록마을로 146 102호,3,55,7,20,18,37.53691464,126.8482806,0,2.083,0.017813216,0,0,0
강서구,e-다솔어린이집,가정,서울특별시 강서구 강서로45나길 15 101동 101호(내발산동 수산오성아파트),3,53,6,19,13,37.54860249,126.835403,0,2.167,0.018104689,3.819,1,0
강서구,KB강서어린이집,직장,서울특별시 강서구 양천로 643 2층,4,213,16,70,48,37.55378652,126.8695904,0,1.75,0.016993557,0,1,0
강서구,LG CNS어린이집,직장,서울특별시 강서구 마곡중앙10로 70,3,120,12,35,29,37.56294099,126.8355936,0,1.75,0.068531324,0,1,0
강서구,LG이노텍 서울어린이집,직장,서울특별시 강서구 마곡중앙10로 30 E3,4,97,12,30,25,37.56208025,126.8321802,0,1.75,0.08277779,0,1,0
강서구,N젤어린이집,직장,서울특별시 강서구 마곡중앙로 177,3,98,13,30,26,37.57015309,126.8274447,0,1,0.031155772,0,1,0
강서구,강서구청어린이집,직장,서울특별시 강서구 화곡로44나길 72 1층2층 강서구청어린이집,4,198,15,49,34,37.54977756,126.8509648,0,1.833,0.028881521,0,1,0
강서구,강서한강자이어린이집,민간,서울특별시 강서구 양천로55길 55 강서한강자이 관리동어린이집,7,219,17,70,65,37.56629831,126.8481956,0,2.083,0.030694283,0,1,0
강서구,강서햇빛발도르프어린이집,협동,서울특별시 강서구 까치산로18길 35 강서햇빛발도르프어린이집,3,94,7,35,17,37.54671627,126.8508408,0,1.917,0.021128418,0,0,0
강서구,개구리 어린이집,협동,서울특별시 강서구 초록마을로24길 21-4,4,80,7,32,18,37.53920286,126.850679,0,1.75,0.016631728,0,1,0
강서구,고모랑이모랑어린이집,가정,서울특별시 강서구 송정로 46-6,3,54,2,16,3,37.55896885,126.810853,0,2.083,0.015241178,0,0,0
강서구,고운아이어린이집,가정,서울특별시 강서구 마곡중앙1로 71 1307동 101호(공항동마곡13단지힐스테이트마스터),3,55,7,20,20,37.55800569,126.8171481,0,1.417,0.016740269,0,1,0
강서구,공간어린이집,민간,서울특별시 강서구 양천로69길 58 공간어린이집 (염창동),5,135,9,47,30,37.55493073,126.8736881,0,1.333,0.018503021,0,1,0
강서구,구립 가온어린이집,국공립,서울특별시 강서구 양천로 590 102동 102호,3,65,8,20,20,37.55579891,126.8644291,0,2.25,0.0193972,0,1,1
강서구,구립 강변어린이집,국공립,서울특별시 강서구 허준로 139,5,160,10,57,43,37.56495172,126.8556942,0,2.083,0.035302031,0,1,1
강서구,구립 꼬꼬마라인어린이집,국공립,서울특별시 강서구 화곡로68길 33 102동 101호(등촌동 라인아파트),4,60,8,20,20,37.55951064,126.8564658,0,2.75,0.026090065,0,1,1
강서구,구립 노블키즈어린이집,국공립,서울특별시 강서구 강서로47길 108 109동 102호,3,70,8,20,19,37.55394254,126.8294145,0,2.417,0.031105,1.697,0,1
강서구,구립 늘사랑어린이집,국공립,서울특별시 강서구 등촌로 163 102동 102호(등촌동 등촌아이파크),3,79,11,20,20,37.5447134,126.8616174,0,1,0.054656393,0,1,1
강서구,구립 드보라어린이집,국공립,서울특별시 강서구 강서로47길 63 103호(내발산동 예스빌),4,65,9,19,18,37.55276915,126.8326724,0,2.667,0.027523538,0,1,1
강서구,구립 뜰아래어린이집,국공립,서울특별시 강서구 양천로67가길 49 201동 105호,3,65,8,19,19,37.55391833,126.870654,0,1.667,0.018195521,0,1,1
강서구,구립 라온어린이집,국공립,서울특별시 강서구 곰달래로53길 112,5,180,15,67,58,37.53603636,126.8565419,0,2,0.024345773,19.994,1,1
강서구,구립 모아어린이집,국공립,서울특별시 강서구 방화대로45길 78 101동 103호(방화동 보람쉬움아파트),4,60,9,20,18,37.57458953,126.8120673,0,2.583,0.026052622,0,1,1
