어린이집명,환경지수,접근지수,위험지수,CLUSTER_ID,CLUSTER_SI
BeBe스쿨어린이집,2.083,0.017813216,0,54,9
e-다솔어린이집,2.167,0.018104689,3.819,41,7
KB강서어린이집,1.75,0.016993557,0,59,6
LG CNS어린이집,1.75,0.068531324,0,21,3
강서구청어린이집,1.833,0.028881521,0,17,4
강서햇빛발도르프어린이집,1.917,0.021128418,0,17,4
개구리 어린이집,1.75,0.016631728,0,56,5
고운아이어린이집,1.417,0.016740269,0,47,6
공간어린이집,1.333,0.018503021,0,31,6
구립 가온어린이집,2.25,0.0193972,0,16,4
구립 꼬꼬마라인어린이집,2.75,0.026090065,0,4,6
구립 노블키즈어린이집,2.417,0.031105,1.697,23,5
구립 늘사랑어린이집,1,0.054656393,0,9,7
구립 드보라어린이집,2.667,0.027523538,0,23,5
구립 뜰아래어린이집,1.667,0.018195521,0,59,6
구립 라온어린이집,2,0.024345773,19.994,36,5
구립 모아어린이집,2.583,0.026052622,0,61,3
구립 밤비어린이집,2.75,0.022367801,0,4,6
구립 보솜어린이집,2.667,0.024251473,0,32,6
구립 뽄다어린이집,2.333,0.023647232,2.766,2,6
구립 새하늘어린이집,2.417,0.027095091,0,2,6
구립 샛별어린이집,2.25,0.021192204,0,54,9
구립 소은어린이집,1.083,0.017388893,0,59,6
구립 스마일어린이집,2.417,0.025238791,0,41,7
구립 신태양어린이집,2.333,0.027910635,15.372,48,5
구립 아기별어린이집,2.667,0.031315492,2.121,44,5
구립 아이편한어린이집,1.583,0.023365397,0,22,5
구립 엔젤아이어린이집,2.75,0.027057977,0,4,6
구립 엠밸리큰나무어린이집,2.25,0.050700499,0,21,3
구립 염창별하어린이집,1.5,0.01849799,0,22,5
구립 이든아이어린이집,2.333,0.027336114,0,43,4
구립 진로어린이집,2.667,0.032882615,0,32,6
구립 청솔어린이집,2.667,0.018958703,0,41,7
구립 코알라아가마을어린이집,2.417,0.029287523,0,39,4
구립 큰별어린이집,2.833,0.029712296,0,32,6
구립 태진한솔어린이집,1.333,0.020996627,0,63,3
구립 푸른별어린이집,1.917,0.028040186,3.394,5,5
구립 푸른솔어린이집,1.583,0.039315096,0,14,4
구립 피노키오어린이집,2.417,0.024382062,7.92,48,5
구립 하나로어린이집,1.5,0.018817216,0,22,5
구립 하늘마음어린이집,1.583,0.019999309,0,56,5
구립 한숲어린이집,2.167,0.025746502,0,62,4
구립 해담어린이집,2,0.036217196,0,15,8
구립 해뜰어린이집,1.833,0.025480251,0,13,3
구립대우주어린이집,2.25,0.036886422,0,14,4
국공립 가양 7 어린이집,1.917,0.021427934,0,39,4
굿모닝어린이집,3.083,0.026495153,0,4,6
근로복지공단 강서어린이집,3,0.022795295,0,53,4
근로복지공단 등촌어린이집,2.167,0.02224791,0,13,3
까꿍어린이집,2,0.025026141,1.414,7,4
까치산어린이집,2.583,0.034379679,6.788,18,5
꼬마궁어린이집,1.917,0.022057382,15.512,36,5
꼬마별어린이집,2.083,0.022037158,0,19,9
꼬마숲어린이집,2.5,0.02752897,1.273,14,4
꼬모어린이집,1.167,0.036093216,0,1,6
꿈꾸는어린이집,2.25,0.037608061,0,6,4
꿈땅어린이집,2.25,0.014141351,0,8,5
꿈비어린이집,1.917,0.013565962,0,47,6
꿈사랑어린이집,2.417,0.032884202,0,23,5
꿈이있는어린이집,2.25,0.01509415,0,38,6
꿈초롱어린이집,2,0.021709738,0,16,4
나래어린이집,2.583,0.026042241,0,61,3
나무와숲어린이집,2.167,0.034166146,0,15,8
나무와열매어린이집,2.417,0.027796622,0,62,4
늘푸른어린이집,2.333,0.021381169,0,2,6
늘품어린이집,2,0.013664234,0,54,9
다해영재어린이집,2.5,0.02315646,0,60,7
단비어린이집,1.667,0.021840793,0,17,4
단향어린이집,2,0.013546392,0,54,9
달님별님어린이집,1.667,0.034554534,0,7,4
대림어린이집,2.583,0.025365533,0,32,6
더조은영재어린이집,1.917,0.030221456,0,19,9
도담어린이집,1.833,0.018710233,0,28,4
도토리어린이집,1.667,0.024711258,7.212,7,4
동광어린이집,1.417,0.01860541,0,31,6
동그라미어린이집,2.667,0.024095014,0,60,7
동글동글어린이집,2.417,0.035875436,0,39,4
동산어린이집,1.417,0.028370475,0,1,6
동성스마일어린이집,2.5,0.028728588,0,13,3
동아어린이집,0.833,0.026204404,0,1,6
동화나라어린이집,2.667,0.020331143,0,62,4
두빛나래터발도르프어린이집,1.167,0.043450472,0,9,7
또래방어린이집,2.417,0.024315168,0,60,7
라임어린이집,3.167,0.022280176,0,60,7
로뎀어린이집,2.167,0.024980247,0,29,5
리라어린이집,2.167,0.024816432,1.131,12,9
리틀빌리지어린이집,1.75,0.026718715,0,22,5
리틀킹어린이집,1.417,0.015644462,0,63,3
리틀현대아이어린이집,2.667,0.02998051,2.121,44,5
마곡 이화어린이집,2.167,0.019942453,1.697,10,6
마곡1 고운비어린이집,2.083,0.020007846,3.96,19,9
마곡1 하람어린이집,2.167,0.024304492,3.96,19,9
마곡13 하나어린이집,1.917,0.01992433,0,47,6
마곡15 누리어린이집,2.083,0.03624027,0,42,3
마곡2 해오름어린이집,1.833,0.020973705,0,19,9
마곡3 연두어린이집,2,0.022343658,1.98,19,9
마곡4 꿈의숲어린이집,1.667,0.035456101,0,50,3
마곡5 해맑은어린이집,2.25,0.021604633,0,10,6
마곡6 마곡숲어린이집,2.083,0.026689043,0,28,4
마곡7 미래꿈어린이집,1.917,0.021189067,0,28,4
마곡8 열린숲어린이집,1.75,0.019952288,3.394,10,6
마곡9 나인어린이집,2.333,0.021789692,5.091,10,6
마곡두린아이어린이집,1.417,0.018165309,0,47,6
마곡사임당어린이집,1.667,0.024462788,3.394,5,5
마곡아이숲어린이집,1.833,0.034789533,0,42,3
마곡어린이집,1.917,0.016525418,0,47,6
마곡자연숲어린이집,1.833,0.016135124,3.394,5,5
마곡코오롱어린이집,1.583,0.094425299,0,21,3
명지어린이집,1.667,0.010288819,16.176,36,5
몬테소리동화나라어린이집,2.333,0.020666543,5.94,29,5
미소가득어린이집,1.833,0.027936013,0,19,9
미소어린이집,1.917,0.018022756,3.394,28,4
민들레어린이집,2.167,0.032978713,0,39,4
밀알몬테소리어린이집,2.333,0.019448908,0,38,6
발산 빅스맘 어린이집,2.5,0.013849218,2.121,8,5
발산어린이집,2.667,0.033098297,0,8,5
방화엔젤어린이집,2.417,0.040026007,0,51,3
베베키즈어린이집,2.167,0.016503881,3.819,41,7
별강서어린이집,1.833,0.028363618,0,17,4
별나라어린이집,3.083,0.020865508,0,53,4
별빛어린이집,2.333,0.021520246,0,38,6
보배어린이집,2.833,0.014706766,1.698,53,4
보성어린이집,2.5,0.03671091,0,62,4
블루나인어린이집,2.333,0.016941953,0,38,6
뽀로로와친구들 어린이집,2.083,0.016305983,1.131,12,9
쁘띠아미 에꼴 어린이집,1.5,0.021828932,19.994,36,5
사과나무어린이집,2,0.023318075,0,29,5
사랑둥이어린이집,2.333,0.027130256,2.121,44,5
사랑샘어린이집,2.167,0.017554947,0,10,6
사랑어린이집,1.167,0.046527157,0,26,3
상록어린이집,2.417,0.046625032,0,51,3
새서원어린이집,2.25,0.021515981,0.849,46,3
새소망어린이집,2.25,0.024376593,10.139,48,5
새싹과 나무어린이집,1.5,0.028533191,0,50,3
새싹어린이집,2.417,0.031470844,0,29,5
새영어린이집,2.417,0.012806173,0,16,4
새자연어린이집,2.333,0.027365554,0,6,4
서울YMCA방화어린이집,1.5,0.053559597,0,15,8
석란어린이집,2.333,0.01573598,0,54,9
수명산어린이집,2.417,0.021458075,0,23,5
수성어린이집,2.417,0.023404953,0,46,3
수잔나어린이집,2.5,0.016373433,0,18,5
숲속나라어린이집,2.417,0.021821157,1.131,12,9
숲으로 가는 어린이집,1.5,0.019133426,0,59,6
신영광어린이집,2.75,0.016808779,0,32,6
신원어린이집,1.25,0.031482998,0,1,6
썬에듀스쿨어린이집,2.167,0.034320001,2.766,2,6
아기둥지어린이집,1.167,0.041023044,0,26,3
아기새어린이집,2.083,0.04095444,0,15,8
아띠어린이집,2.667,0.018140503,0,12,9
아란어린이집,1.5,0.020201526,0,31,6
아름드리어린이집,2.667,0.01738649,0,12,9
아이꿈어린이집,2.5,0.025388085,0,58,3
아이뜰어린이집,2.417,0.013611079,0,18,5
아이랑어린이집,1.75,0.033937848,0,15,8
아이린어린이집,2.5,0.015196508,3.394,54,9
아이삭어린이집,2.667,0.026385223,0,23,5
아이큰숲자연학교어린이집,1.417,0.03036231,0,56,5
아이파크어린이집,1,0.031976215,0,9,7
아장닷컴어린이집,2.333,0.025656213,11.313,43,4
아장아장어린이집,2.25,0.029870492,0,6,4
아침해 어린이집,1.083,0.03103469,0,1,6
애솔 어린이집,2.333,0.012868349,0,54,9
어린왕자어린이집,2.5,0.014679501,3.394,54,9
엄마품어린이집,1.167,0.036522567,0,26,3
에반어린이집,2.583,0.022229835,6.788,18,5
엔젤어린이집,2.833,0.022145826,0,60,7
열매어린이집,2.333,0.010050839,0,53,4
염창누리봄어린이집,1.417,0.02118885,0,31,6
염창어린이집,1.583,0.020495366,0,22,5
예꿈어린이집,1.667,0.022030479,8.298,2,6
예솔어린이집,2.25,0.014662773,3.394,54,9
예원비전스쿨어린이집,2.667,0.016602495,0,12,9
예은어린이집,2.5,0.039774339,0,6,4
오즈 어린이집,2.583,0.02483394,0,61,3
오즈의마법사어린이집,2,0.027855693,3.394,5,5
우리아이어린이집,1.833,0.016300507,0,50,3
유성어린이집,2.5,0.014220557,2.121,8,5
유창어린이집,2.75,0.030741392,4.242,8,5
은빛어린이집,2.167,0.02659033,0,19,9
은초록어린이집,2.583,0.044275875,0,58,3
이레어린이집,2,0.036642528,0,15,8
이화의료원어린이집,2.417,0.023077907,2.121,44,5
자연어린이집,2.25,0.018402086,0,10,6
잘자람어린이집,2.333,0.02180957,0,29,5
잼잼서밋어린이집,2.167,0.050089983,0,15,8
제일어린이집,1.75,0.021398099,15.512,7,4
