시군구명,어린이집수,국공립/민간비율,보육교사수,보육교사 1인당 아동수,전체 충족률,일반출생률,신혼부부,보육시설 아동비율
강남구,189,57.89,1720,4.4,70.11,16.19461027,9267,0.58688032
강동구,242,81.13,2034,5.2,80.69,22.54515702,11801,0.702055252
강북구,128,88.24,1046,5.3,76.32,15.79831173,5442,0.894522997
강서구,322,123.61,2397,4.9,77.96,22.257192,15457,0.712563087
관악구,192,52.11,1425,4.9,74.21,14.44522379,9955,0.761010046
광진구,154,71.77,1165,4.7,76.47,16.48561544,7605,0.701358332
구로구,270,67.5,1885,5.1,78.74,23.84342572,10988,0.784270399
금천구,135,79.44,1078,4.8,70.19,20.44848088,5380,0.939338903
노원구,324,71.43,1988,4.3,77.25,18.23171768,10304,0.670777878
도봉구,174,80,1238,4.8,75.23,17.34128736,6042,0.799621417
동대문구,192,61.24,1290,5,79.3,20.74863311,7484,0.705165505
동작구,185,56.13,1421,4.8,80.96,20.51590886,8804,0.652178094
마포구,194,47.6,1537,4.6,80.66,19.23811342,9395,0.644288531
서대문구,134,57.5,1117,4.9,80.98,19.85095597,6939,0.639831746
서초구,173,49.31,1679,4.7,74.96,20.21607169,8693,0.625652468
성동구,161,40.61,1268,4.6,76.91,26.5373228,8566,0.610937825
성북구,213,61.11,1614,4.7,81.15,19.00027462,9196,0.643243473
송파구,338,87.18,2875,4.8,84.44,21.82812725,16472,0.651608779
양천구,245,62.24,1638,5.1,76.86,17.12758912,8523,0.734041611
영등포구,232,81.31,2057,4.5,79.68,23.57579989,11199,0.761974585
용산구,108,83.17,871,4.7,79.66,20.6676567,5562,0.67934513
은평구,216,108.43,1970,4.8,75.94,18.5366908,10964,0.769729552
종로구,73,58.76,752,4,66,15.06392915,2527,1.031902052
중구,67,63.33,728,4.1,72.43,23.22137713,3187,0.959381044
중랑구,208,86.11,1643,4.8,79.17,20.96379744,9355,0.789674185
